,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
JPM,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,30.197551688006335,10807.048632261422,11294.64540621,8.070486322614215,13.988983245352305,3.964976318813096,6.556828096445294,0.6047095120524298,1.0808495807596539,0.918443352328998,-4.317061372112574,-0.5545153126557536,173 days 19:50:00,7 days 12:29:00,489,44.989775051124745,3.201900061289731,-1.6199694345389704,0.031121838935388446,3 days 00:05:00,0 days 03:21:00,1.1472782189750592,0.03318914402295062,1.139244594867064,0.8477061652835862
V,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,28.57910356119525,11807.466069726148,11807.466069726148,18.07466069726148,67.43483188515302,8.680112541971186,5.537389101420364,1.5675460732468123,3.6114744596739703,1.8077443734801955,-4.801626086801525,-0.3006799716853684,240 days 00:20:00,5 days 09:26:00,395,45.822784810126585,4.129177377892024,-1.44397786967978,0.07316005070829856,2 days 00:55:00,0 days 03:25:00,1.4550120435044518,0.07487033457287914,2.5645229264894733,0.7681498689582793
COST,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,29.09277820611668,11048.727741590908,11222.227741590908,10.487277415909084,28.606433777330984,5.123349444412284,6.235263259086494,0.8216733169920539,1.6534253485849728,0.8308800042374845,-6.166172513820555,-0.47832619611927346,256 days 00:50:00,8 days 08:59:00,278,43.52517985611511,2.374653158675877,-1.5878284923928065,0.04536214011612305,3 days 01:10:00,0 days 03:34:00,1.2479264839198634,0.047047243106077136,1.2000058627917705,0.796360438339442
MCD,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,38.65143793695101,12429.959305984292,12586.95930598429,24.29959305984292,46.77674922858811,11.513837071658916,6.4151170910331095,1.7947976487837876,4.48667694973184,2.1280277281850077,-5.410567221076135,-0.2884384055127423,112 days 22:30:00,2 days 22:52:00,381,44.35695538057743,3.0884662362589355,-1.1415288929975898,0.07625903463015504,1 days 18:55:00,0 days 03:20:00,1.4997267756974244,0.07785164196831659,2.6709498178004085,0.7379171269305684
SPOT,2018-04-03 13:50:00,2019-01-02 15:55:00,274 days 02:05:00,39.42864934887844,12221.191395078318,13415.038836275207,22.21191395078318,-28.04530785293932,30.478835187559874,16.15944530068881,1.8861312761930442,4.310318658342844,3.424849303321623,-8.899321543286497,-0.7345525243408149,75 days 03:20:00,2 days 16:37:00,148,52.702702702702695,4.138517313770218,-3.0845869960340333,0.1348508030214468,0 days 06:15:00,0 days 03:18:00,1.3347229590389877,0.14351939666156394,1.756404064053873,0.8852320397067046
ADBE,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,31.323722149410223,16289.694112856372,16289.694112856372,62.896941128563725,117.22770361772103,27.69300685398248,13.111292279083814,2.1121493034031884,6.05645311529,4.6382173417174135,-5.970614314448763,-0.47494110370965203,244 days 01:00:00,2 days 22:02:00,315,49.2063492063492,4.303904524738056,-3.4346622095243973,0.17432276154631943,1 days 18:55:00,0 days 03:17:00,1.711653832652217,0.1789533248023511,3.4924961697236667,0.7614267464029952
CAT,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,35.03262955854127,10489.738236697618,11181.782938753038,4.8973823669761805,33.65415124272872,2.4242909671295276,8.056291566143651,0.3009189708721002,0.4967904228781985,0.28985943489757016,-8.363677959926397,-0.7381697666841126,302 days 21:05:00,13 days 01:45:00,416,45.19230769230769,3.7538060354153857,-3.065119899233215,0.021101641526644066,2 days 23:00:00,0 days 03:24:00,1.0885145899368434,0.024418073270249918,0.46206527078004495,0.8770777657994256
HD,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,37.71628954643187,12194.171014622058,13171.952517406411,21.941710146220576,27.954275534441802,10.448997713116626,7.3235545487201446,1.42676587490465,2.8094720787823904,1.1695572569941024,-8.93414807238404,-0.3012028961409803,78 days 00:15:00,2 days 13:30:00,373,47.18498659517426,3.338152187630472,-2.30622501273543,0.06671393873294296,2 days 23:40:00,0 days 03:31:00,1.3424626980256562,0.06882942279519796,1.9824023409427762,0.8273011413999134
NFLX,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,18.12027182972176,11690.680349854081,12143.496989554415,16.90680349854081,110.12082221873531,8.140239780469539,8.566239040447073,0.9502699775285163,2.0919846692353237,1.460703652564758,-5.572820856699168,-0.5720297770373765,399 days 03:55:00,8 days 07:17:00,203,42.364532019704434,3.893825343822521,-2.5279839868995513,0.09691137399527872,2 days 20:05:00,0 days 03:22:00,1.340454292550174,0.1015316834851909,1.439252741851067,0.7418084909522443
MA,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,29.47818517001229,11225.117373665911,11558.27429593754,12.251173736659112,80.04933118299972,5.960826450912582,7.618322887286672,0.7824328975160542,1.4259047474732152,0.9862914205752303,-6.043676672596499,-0.49041037941683585,171 days 20:40:00,6 days 11:02:00,286,47.2027972027972,2.7799227799227832,-2.2191099656024837,0.04650865852537933,2 days 01:10:00,0 days 03:26:00,1.2216197002188112,0.048784862071068344,1.225165129825877,0.8562571378134214
